         3795261 function calls (3771441 primitive calls) in 6.183 seconds

   Ordered by: cumulative time
   List reduced from 807 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    6.183    0.309 <stdin>:10(<lambda>)
       20    0.002    0.000    6.182    0.309 serialization.py:757(from_file)
       20    0.000    0.000    4.309    0.215 __init__.py:1754(extractall)
      220    0.001    0.000    4.308    0.020 __init__.py:1787(_extract_member)
      200    0.012    0.000    4.276    0.021 shutil.py:196(copyfileobj)
    39880    0.030    0.000    3.804    0.000 __init__.py:983(read)
    38320    0.107    0.000    3.765    0.000 __init__.py:1065(_read1)
    38320    3.329    0.000    3.329    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       60    0.087    0.001    1.106    0.018 serialization.py:466(topics)
    37680    0.478    0.000    0.478    0.000 {method 'write' of '_io.BufferedWriter' objects}
     5380    0.010    0.000    0.390    0.000 _index.py:29(__getitem__)
      440    0.002    0.000    0.357    0.001 _format_impl.py:780(read_array)
      120    0.001    0.000    0.343    0.003 _npyio_impl.py:311(load)
       40    0.328    0.008    0.328    0.008 {built-in method numpy.fromfile}
     5380    0.008    0.000    0.308    0.000 _base.py:1077(nonzero)
     5380    0.003    0.000    0.304    0.000 _csr.py:274(_get_sliceXarray)
     5460    0.003    0.000    0.303    0.000 _csr.py:63(tocoo)
     5380    0.025    0.000    0.300    0.000 _compressed.py:651(_minor_index_fancy)
       40    0.000    0.000    0.256    0.006 parquet.py:508(read_parquet)
       40    0.001    0.000    0.254    0.006 parquet.py:240(read)
    38320    0.022    0.000    0.246    0.000 __init__.py:1101(_read2)
     5460    0.011    0.000    0.237    0.000 _compressed.py:986(tocoo)
       40    0.000    0.000    0.230    0.006 core.py:1879(read_table)
       40    0.224    0.006    0.224    0.006 core.py:1520(read)
    39400    0.031    0.000    0.217    0.000 __init__.py:820(read)
     5460    0.013    0.000    0.179    0.000 _coo.py:32(__init__)
    39940    0.161    0.000    0.161    0.000 {method 'read' of '_io.BufferedReader' objects}
     5460    0.016    0.000    0.108    0.000 _coo.py:204(_check)
    21840    0.013    0.000    0.103    0.000 _base.py:1525(_get_index_dtype)
     5380    0.097    0.000    0.097    0.000 {built-in method scipy.sparse._sparsetools.csr_column_index1}
     5460    0.013    0.000    0.096    0.000 _compressed.py:30(__init__)
    21840    0.056    0.000    0.082    0.000 _sputils.py:264(get_index_dtype)
     4660    0.003    0.000    0.077    0.000 _arraysetops_impl.py:958(isin)
    38320    0.007    0.000    0.073    0.000 __init__.py:1018(_update_crc)
     4660    0.031    0.000    0.073    0.000 _arraysetops_impl.py:806(_isin)
     5380    0.024    0.000    0.070    0.000 _index.py:298(_validate_indices)
      100    0.000    0.000    0.070    0.001 frame.py:2125(to_dict)
      100    0.012    0.000    0.070    0.001 to_dict.py:97(to_dict)
       20    0.000    0.000    0.066    0.003 tempfile.py:948(__exit__)
       20    0.000    0.000    0.066    0.003 tempfile.py:952(cleanup)
       20    0.000    0.000    0.066    0.003 tempfile.py:894(_rmtree)
       20    0.000    0.000    0.066    0.003 shutil.py:710(rmtree)
    39540    0.066    0.000    0.066    0.000 {built-in method zlib.crc32}
      120    0.001    0.000    0.066    0.001 shutil.py:642(_rmtree_safe_fd)
     5460    0.005    0.000    0.062    0.000 _compressed.py:1034(has_canonical_format)


